person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
26.0,male,High School,72707.0,4,RENT,24000.0,PERSONAL,10.84,0.33,4.0,614,No,1
22.0,female,Bachelor,85497.0,0,MORTGAGE,14075.0,EDUCATION,14.74,0.16,4.0,623,No,0
27.0,female,Associate,144175.0,5,MORTGAGE,8800.0,MEDICAL,11.01,0.06,7.0,663,No,0
25.0,female,Master,64677.0,4,MORTGAGE,10750.0,VENTURE,11.14,0.17,2.0,567,Yes,0
25.0,female,Bachelor,61232.0,0,MORTGAGE,8000.0,DEBTCONSOLIDATION,7.49,0.13,4.0,608,Yes,0
23.0,male,High School,107788.0,2,RENT,7000.0,EDUCATION,11.01,0.06,3.0,641,Yes,0
28.0,male,High School,49076.0,8,OWN,3600.0,MEDICAL,6.99,0.07,10.0,637,Yes,0
47.0,male,Associate,44111.0,23,RENT,11160.0,MEDICAL,11.86,0.25,24.0,576,No,1
23.0,female,Associate,180837.0,0,MORTGAGE,9600.0,DEBTCONSOLIDATION,6.92,0.05,2.0,687,No,0
22.0,female,Bachelor,86581.0,0,MORTGAGE,21600.0,MEDICAL,15.27,0.25,2.0,616,No,1
25.0,male,Bachelor,69642.0,1,RENT,9500.0,HOMEIMPROVEMENT,12.53,0.14,4.0,574,Yes,0
37.0,male,High School,107969.0,15,MORTGAGE,10000.0,DEBTCONSOLIDATION,11.01,0.09,12.0,595,Yes,0
29.0,male,Bachelor,25140.0,7,RENT,2000.0,HOMEIMPROVEMENT,18.3,0.08,9.0,689,No,1
26.0,male,High School,34155.0,7,RENT,4725.0,MEDICAL,6.54,0.14,2.0,613,No,0
25.0,female,High School,54191.0,2,RENT,2100.0,PERSONAL,17.27,0.04,4.0,549,Yes,0
37.0,male,Doctorate,48857.0,16,RENT,1800.0,MEDICAL,9.63,0.04,13.0,723,No,0
21.0,male,Associate,18916.0,0,OWN,6200.0,HOMEIMPROVEMENT,7.9,0.33,2.0,615,No,1
31.0,male,Bachelor,66774.0,8,RENT,3600.0,PERSONAL,8.41,0.05,6.0,687,No,0
26.0,female,High School,36877.0,0,RENT,7500.0,PERSONAL,14.75,0.2,3.0,609,No,1
24.0,female,High School,64902.0,0,MORTGAGE,21000.0,VENTURE,10.65,0.32,4.0,681,Yes,0
23.0,male,Master,48976.0,0,RENT,12000.0,MEDICAL,9.63,0.25,3.0,607,Yes,0
24.0,male,Bachelor,121160.0,0,MORTGAGE,30000.0,MEDICAL,14.91,0.25,3.0,625,No,1
37.0,male,High School,49959.0,17,RENT,10750.0,PERSONAL,15.37,0.22,14.0,714,No,0
24.0,male,Associate,47586.0,3,MORTGAGE,16000.0,HOMEIMPROVEMENT,14.22,0.34,4.0,672,No,1
25.0,female,High School,87104.0,3,OWN,18000.0,HOMEIMPROVEMENT,16.82,0.21,2.0,631,Yes,0
28.0,male,Associate,94608.0,5,RENT,12000.0,PERSONAL,11.11,0.13,10.0,496,Yes,0
29.0,male,Bachelor,87624.0,3,RENT,20400.0,HOMEIMPROVEMENT,11.49,0.23,7.0,587,Yes,0
29.0,female,High School,58869.0,8,RENT,10000.0,MEDICAL,13.8,0.17,10.0,618,No,0
35.0,male,High School,49926.0,13,RENT,4000.0,MEDICAL,12.58,0.08,12.0,632,No,0
40.0,male,Associate,199346.0,18,MORTGAGE,9000.0,DEBTCONSOLIDATION,7.51,0.05,16.0,620,Yes,0
