person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
1,2,7.100416250921024,7,2,17.270167106865546,1,7.46,0.00972390904474998,8961019394.884394,1,0
0,2,7.033130033447347,0,0,34.769827236859605,1,14.11,0.11146683302930122,6365342784.17936,1,0
0,2,6.862406931594654,0,0,32.45175718195024,5,11.71,0.12647760575665437,6212119823.796713,0,0
1,1,7.277484071231614,14,0,29.058874732093887,1,17.93,0.03585586620429589,5697018822.290741,1,0
0,1,7.0082511526805815,2,2,38.11944064483481,1,12.73,0.1417065435780084,3280652958.4079795,0,0
0,3,7.055650804694856,9,2,28.325918680071606,1,10.59,0.05805938790560792,6098985949.511718,0,0
0,0,7.010149529601612,2,2,26.96844267927803,3,10.31,0.05805938790560792,10996883081.944563,1,0
1,2,7.05624387212264,0,0,28.325918680071606,1,19.13,0.05805938790560792,6288390018.428003,0,0
1,0,6.846879106219532,2,0,31.56006688543129,2,7.03,0.1193280169967879,10102461519.017698,0,0
1,2,7.038478074121872,6,2,23.458810875830338,3,11.13,0.03585586620429589,4486125703.735497,1,0
1,2,7.027501078116921,21,2,32.10366786455521,2,10.0,0.09325838270971218,10211244881.360977,0,1
0,1,7.006491740711331,12,2,26.96844267927803,1,8.0,0.05805938790560792,6365342784.17936,1,0
0,0,6.866571943458642,2,0,22.726897550527067,0,8.07,0.04365704998860869,4194122957.8222847,1,0
0,3,6.866617431961458,4,0,32.79016087412627,4,11.97,0.12647760575665437,9262440410.308636,0,1
0,1,6.792821653304604,19,0,31.925436956193806,3,8.9,0.13299022231983967,8570362990.916106,0,0
0,1,7.09025926538786,0,2,30.588849147271755,3,16.29,0.0710193225309618,9211696280.715668,0,0
1,2,7.4336409894310504,8,2,40.773347461972534,5,11.49,0.0710193225309618,5661463950.5419,1,0
1,2,7.089256392232452,7,2,29.742394842383064,5,10.56,0.06470865966027203,9834212478.555706,1,0
1,0,7.021301212393708,9,2,37.2913753598156,4,11.2,0.13299022231983967,5520865255.0543585,0,0
0,3,6.81567127699689,4,2,34.04752614226796,1,5.99,0.14689788546723034,6061611786.614346,1,0
1,0,6.627950860451475,18,0,27.670868358619714,2,5.79,0.12647760575665437,8522422461.534422,0,0
0,3,7.035215640475083,10,2,41.204390136164214,4,13.44,0.156008566877461,7648292050.977454,0,1
0,2,6.880885386890574,5,0,26.96844267927803,2,11.91,0.07701149283386494,8007927899.197785,1,0
1,0,7.25874069120072,29,2,32.45175718195024,0,10.99,0.05805938790560792,8332619361.662185,0,0
0,1,6.815002422026564,0,0,30.588849147271755,3,11.01,0.1193280169967879,3500032991.332081,1,0
0,2,6.987786185007579,2,0,29.742394842383064,3,11.28,0.08270392415676227,4251377352.59881,1,0
0,2,6.983528263958312,3,2,20.95620288960928,2,7.51,0.027619554849898278,8862159424.668594,0,0
1,1,7.017529179385567,17,2,32.45175718195024,5,13.57,0.09325838270971218,9834212478.555706,0,0
1,3,6.805988739792407,3,2,22.36588247478241,5,13.12,0.05104991517487931,4137434503.8642383,0,1
1,1,6.76251365817431,4,0,30.588849147271755,5,10.74,0.12647760575665437,7472973842.11728,1,0
1,1,7.301793195330896,10,2,37.84933336854038,4,6.17,0.08270392415676227,10486949595.45804,0,0
1,2,6.694699955174223,4,0,26.96844267927803,1,11.77,0.1072433161905317,10211244881.360977,1,0
1,2,6.844703915885419,3,0,32.45175718195024,0,10.99,0.12980923246312995,6841609701.8843565,1,0
0,0,7.186393911916701,13,2,30.067887089570064,2,5.79,0.05104991517487931,12892796046.89586,0,0
1,2,7.546145075882162,0,2,32.45175718195024,1,15.65,0.027619554849898278,4165708210.4484777,1,0
1,3,6.763710048973501,0,0,18.942411585861553,2,13.11,0.03585586620429589,4338327876.427907,1,0
0,2,6.9455337439089275,4,0,32.45175718195024,2,6.17,0.1072433161905317,7173263713.306309,0,0
1,1,7.04601641410972,2,2,36.09525549589383,2,7.57,0.1193280169967879,5348728455.835273,1,0
0,1,6.702143104117614,10,1,35.23160833546047,3,12.66,0.17442009108031548,7386425688.237455,1,0
1,2,7.022317284222134,3,2,32.45175718195024,0,11.01,0.09325838270971218,8145926278.631867,1,0
0,1,6.757749124727881,0,0,32.45175718195024,4,15.27,0.1443598893104385,8764099437.404308,0,1
0,0,7.011146375170717,4,0,34.04752614226796,1,9.99,0.1072433161905317,8332619361.662185,1,0
0,1,6.932271565853434,0,0,29.742394842383064,0,11.91,0.08811411083017963,7300612866.915645,1,0
0,3,6.864701680375209,2,0,28.325918680071606,1,12.73,0.08811411083017963,7429607600.467217,1,0
1,0,7.012282647689935,8,2,22.30412488108157,4,11.01,0.027619554849898278,9415899625.280046,0,0
1,2,7.518806756141896,12,0,34.04752614226796,0,8.49,0.03585586620429589,9781194353.895208,1,0
1,3,6.948658888071842,2,0,30.588849147271755,0,14.72,0.09325838270971218,7472973842.11728,1,0
1,2,7.346042137737347,7,1,40.32830595040117,0,11.83,0.08811411083017963,9060683464.33266,1,0
0,1,6.882669179663542,0,0,34.769827236859605,1,15.31,0.13893162698045083,6326780839.396307,0,1
0,3,6.7582990054781265,5,0,29.519576840831487,2,11.18,0.1193280169967879,5417104911.143177,1,0
1,3,7.198681589403421,1,0,37.17677871827455,5,13.11,0.09325838270971218,4251377352.59881,1,0
1,1,7.191530552358839,5,0,30.207947685255814,5,12.9,0.05104991517487931,11170819585.759491,0,0
1,2,7.1531948098230576,10,2,39.584339321273234,1,15.23,0.12298687408692441,5213871810.087765,0,0
0,2,7.249733823474449,9,2,26.672335268705126,1,10.36,0.027619554849898278,8862159424.668594,0,0
1,0,7.075782241975786,4,2,36.09525549589383,1,11.01,0.11146683302930122,7871647027.932008,1,0
1,2,6.883124504481339,1,0,30.588849147271755,3,5.99,0.1072433161905317,3352627748.2266703,1,0
0,2,6.966836864934333,14,0,28.940365322032605,1,7.29,0.07701149283386494,7826599390.043093,1,0
1,1,6.474558238020081,10,0,18.33691164852092,1,11.01,0.05805938790560792,8911489154.847576,0,1
0,3,7.0025856634098504,2,0,38.89752099820965,5,7.66,0.14689788546723034,8145926278.631867,0,1
1,1,7.161523775316541,4,2,40.773347461972534,1,11.01,0.12647760575665437,9262440410.308636,0,0
