loan_percent_income,loan_int_rate,loan_amnt,previous_loan_defaults_on_file
0.49,16.02,35000.0,No
0.08,11.14,1000.0,Yes
0.44,12.87,5500.0,No
0.44,15.23,35000.0,No
0.53,14.27,35000.0,No
0.19,7.14,2500.0,No
0.37,12.42,35000.0,No
0.37,11.11,35000.0,No
0.35,8.9,35000.0,No
0.13,14.74,1600.0,No
0.34,10.37,35000.0,No
0.34,8.63,4500.0,No
0.3,7.9,35000.0,No
0.27,18.39,35000.0,No
0.25,7.9,35000.0,No
0.05,10.65,30000.0,Yes
0.24,7.9,35000.0,No
0.31,20.0,35000.0,No
0.26,18.25,35000.0,No
0.12,10.99,1750.0,No
0.18,7.49,35000.0,Yes
0.21,16.77,34800.0,No
0.43,17.58,34000.0,No
0.11,7.29,1500.0,Yes
0.35,14.54,33950.0,No
0.4,12.68,33000.0,No
0.32,17.74,4575.0,No
0.1,9.32,1400.0,No
0.41,9.99,32500.0,No
0.27,12.84,4000.0,No
0.13,11.12,2000.0,No
0.22,6.62,32000.0,Yes
0.27,14.17,31050.0,No
0.07,13.85,24250.0,Yes
0.02,13.49,7800.0,No
0.17,7.51,2500.0,No
0.51,18.39,30000.0,No
0.38,14.54,30000.0,No
0.33,16.89,30000.0,No
0.35,11.01,30000.0,No
0.4,17.99,30000.0,No
0.17,12.69,2500.0,No
0.06,7.88,20000.0,Yes
0.07,19.41,24250.0,Yes
0.03,10.38,10000.0,No
0.07,15.33,25000.0,Yes
0.05,16.45,18000.0,No
0.31,7.49,30000.0,No
0.37,12.69,30000.0,No
0.28,6.62,30000.0,No
0.32,11.01,30000.0,No
0.32,18.62,30000.0,No
0.27,15.23,30000.0,No
0.26,10.65,30000.0,No
0.21,7.9,30000.0,No
0.03,15.96,10000.0,Yes
0.06,11.48,20000.0,Yes
0.1,11.01,35000.0,No
0.19,7.29,30000.0,Yes
0.11,11.01,1750.0,Yes
0.19,5.99,30000.0,Yes
0.04,11.58,12000.0,Yes
0.03,11.01,10000.0,No
0.09,15.7,25000.0,No
0.34,15.99,29100.0,No
0.1,14.84,1500.0,No
0.09,10.99,28000.0,Yes
0.06,14.42,20000.0,Yes
0.03,6.99,9600.0,Yes
0.08,13.49,25000.0,Yes
0.2,11.01,3000.0,No
0.41,11.01,28000.0,No
0.2,13.61,3000.0,No
0.35,7.9,28000.0,No
0.27,7.49,28000.0,No
0.4,7.51,6100.0,No
0.26,9.91,28000.0,No
0.28,13.48,4200.0,No
0.31,7.14,4750.0,No
0.28,15.99,28000.0,No
0.06,12.98,18000.0,No
0.02,13.57,4800.0,No
0.23,12.69,28000.0,No
0.21,8.9,28000.0,Yes
0.17,11.01,2700.0,No
0.21,11.01,28000.0,No
0.15,11.11,28000.0,Yes
0.33,11.01,27600.0,No
0.21,15.68,3250.0,No
0.32,13.06,27500.0,No
0.09,11.01,25000.0,Yes
0.3,15.62,27050.0,No
0.27,13.49,27000.0,No
0.3,11.01,27000.0,No
0.34,11.71,26000.0,No
0.18,12.69,25600.0,Yes
0.1,13.57,1600.0,Yes
0.35,10.99,25475.0,No
0.07,14.27,20000.0,Yes
0.07,8.88,20000.0,Yes
0.08,12.18,21600.0,Yes
0.04,14.42,11900.0,No
0.09,14.17,25000.0,Yes
0.13,13.99,35000.0,Yes
0.25,10.99,25300.0,No
0.12,5.42,2000.0,No
0.11,13.61,1750.0,Yes
0.48,12.73,25000.0,No
0.5,11.01,25000.0,No
0.18,12.87,3000.0,No
0.22,9.91,3650.0,No
0.07,11.49,20000.0,Yes
0.11,19.91,30000.0,Yes
0.14,10.65,35000.0,No
0.02,11.01,6000.0,Yes
0.27,11.83,4500.0,No
0.14,13.49,2400.0,No
0.48,14.59,25000.0,No
0.43,9.64,25000.0,No
0.22,14.59,3600.0,No
0.28,11.01,4750.0,No
0.48,16.35,25000.0,No
0.42,10.99,25000.0,No
0.09,18.67,25000.0,Yes
0.01,9.32,3000.0,No
0.03,8.63,7500.0,No
0.09,10.08,25000.0,Yes
0.41,11.83,25000.0,No
0.41,7.9,25000.0,No
0.41,5.99,25000.0,No
0.46,15.33,25000.0,No
0.41,11.83,25000.0,No
0.41,10.36,25000.0,No
0.41,12.23,25000.0,No
0.4,11.11,25000.0,No
0.29,7.9,4950.0,No
0.09,11.58,25000.0,Yes
0.08,8.9,21000.0,No
0.1,16.07,25000.0,Yes
0.08,14.22,20000.0,No
0.14,14.79,35000.0,Yes
0.05,7.88,12000.0,Yes
0.39,13.22,25000.0,No
0.44,11.86,25000.0,No
0.39,13.43,25000.0,No
0.43,15.28,25000.0,No
0.44,17.93,25000.0,No
0.08,9.25,1400.0,No
0.27,12.98,4500.0,No
0.06,10.62,16000.0,Yes
0.09,11.83,22000.0,Yes
0.43,18.43,25000.0,No
0.37,11.01,25000.0,No
0.38,11.01,25000.0,No
0.38,11.36,25000.0,No
0.37,15.65,25000.0,No
0.37,13.22,25000.0,No
0.37,12.87,25000.0,No
0.08,13.04,20000.0,Yes
0.1,17.58,22000.0,No
0.43,17.04,7750.0,No
0.34,10.99,25000.0,No
0.34,11.11,25000.0,No
0.38,14.83,25000.0,No
0.23,11.01,4000.0,No
0.05,12.69,12000.0,No
0.05,13.49,12000.0,No
0.07,14.65,16000.0,Yes
0.38,16.82,25000.0,No
0.34,12.73,25000.0,No
0.34,10.25,25000.0,No
0.34,10.99,25000.0,No
0.33,12.73,25000.0,No
0.36,14.96,25000.0,No
0.12,11.01,28000.0,Yes
0.1,13.99,25000.0,No
0.1,7.49,24000.0,Yes
0.06,14.79,15000.0,Yes
0.06,11.99,15500.0,No
0.04,8.49,10000.0,Yes
0.31,9.91,25000.0,No
0.31,13.06,25000.0,No
0.04,6.17,9000.0,Yes
0.02,11.86,6000.0,No
0.07,16.32,18000.0,Yes
0.05,10.38,12000.0,Yes
0.1,14.35,23050.0,No
0.08,11.01,20000.0,No
0.34,11.01,25000.0,No
0.17,11.01,3000.0,No
0.31,15.21,25000.0,No
0.31,7.9,25000.0,No
0.31,10.99,25000.0,No
0.3,14.09,25000.0,No
0.3,17.49,25000.0,No
0.05,11.48,12000.0,No
0.09,17.74,20000.0,No
0.01,13.92,3000.0,Yes
0.29,15.21,25000.0,No
0.22,10.99,4000.0,No
0.29,11.86,25000.0,No
0.33,7.49,6000.0,No
